,precision,recall,f1-score,support
account_access_security,0.875,1.0,0.9333333333333333,7.0
apps_media_services,0.3333333333333333,0.7142857142857143,0.45454545454545453,7.0
battery_power_charging,0.6428571428571429,0.5625,0.6,16.0
billing_purchase_payment,1.0,0.23076923076923078,0.375,13.0
connectivity_network,0.875,0.875,0.875,8.0
data_storage_backup,0.4,0.2222222222222222,0.2857142857142857,9.0
device_hardware_issue,0.3,0.375,0.3333333333333333,16.0
general_complaint_unclear,0.6896551724137931,0.6451612903225806,0.6666666666666666,62.0
product_howto_information,0.36363636363636365,0.4444444444444444,0.4,9.0
software_update_issue,0.7586206896551724,0.8301886792452831,0.7927927927927928,53.0
accuracy,0.635,0.635,0.635,0.635
macro avg,0.6238102701895805,0.5899571581289476,0.5716385866385866,200.0
weighted avg,0.6669114606657709,0.635,0.6302313238563237,200.0
